country,continent,income,child_per_woman,child_mortality
Afghanistan,Asia,1740.0,4.33,62.3
Albania,Europe,12300.0,1.71,8.82
Algeria,Africa,13900.0,2.64,23.5
Angola,Africa,5720.0,5.55,77.2
Argentina,South America,18300.0,2.26,9.94
Australia,Oceania,45400.0,1.83,3.69
Austria,Europe,46500.0,1.52,3.52
Bahrain,Asia,42000.0,1.99,7.09
Bangladesh,Asia,3880.0,2.05,30.2
Belgium,Europe,43200.0,1.8,3.65
Benin,Africa,2150.0,4.84,93.0
Bolivia,South America,6990.0,2.8,26.8
Bosnia and Herzegovina,Europe,12800.0,1.39,5.81
Botswana,Africa,16500.0,2.64,36.5
Brazil,South America,14300.0,1.7,14.3
Bulgaria,Europe,19300.0,1.59,7.06
Burkina Faso,Africa,1760.0,5.19,76.4
Burundi,Africa,660.0,5.53,58.5
Cambodia,Asia,3870.0,2.5,28.0
Cameroon,Africa,3350.0,4.57,76.1
Canada,North America,44100.0,1.56,4.97
Central African Republic,Africa,775.0,4.72,116.0
Chad,Africa,1750.0,5.75,119.0
Chile,South America,22900.0,1.76,7.19
China,Asia,16200.0,1.64,8.6
Colombia,South America,13300.0,1.82,14.2
Comoros,Africa,2510.0,4.2,67.5
"Congo, Dem. Rep.",Africa,827.0,5.92,88.1
"Congo, Rep.",Africa,5020.0,4.54,50.1
Costa Rica,North America,15700.0,1.75,8.79
Cote d'Ivoire,Africa,3730.0,4.78,80.9
Croatia,Europe,23600.0,1.45,4.67
Cuba,North America,7890.0,1.72,4.98
Czech Republic,Europe,33400.0,1.57,3.37
Denmark,Europe,47700.0,1.76,4.22
Djibouti,Africa,3490.0,2.73,59.3
Dominican Republic,North America,15800.0,2.36,28.9
Ecuador,South America,10400.0,2.43,14.2
Egypt,Africa,11000.0,3.15,21.2
El Salvador,North America,7390.0,2.04,13.7
Equatorial Guinea,Africa,20900.0,4.51,85.3
Eritrea,Africa,1370.0,3.99,41.9
Ethiopia,Africa,1790.0,3.97,55.2
Finland,Europe,41900.0,1.78,1.7
France,Europe,39600.0,1.97,4.04
Gabon,Africa,15900.0,3.66,44.8
Gambia,Africa,1520.0,5.29,58.4
Germany,Europe,46000.0,1.48,3.66
Ghana,Africa,4210.0,3.87,47.9
Greece,Europe,25100.0,1.3,4.45
Guatemala,North America,7510.0,2.87,26.2
Guinea,Africa,2340.0,4.7,101.0
Guinea-Bissau,Africa,1600.0,4.48,81.5
Haiti,North America,1660.0,2.82,64.8
Honduras,North America,4560.0,2.39,17.6
Hungary,Europe,28200.0,1.4,4.27
Iceland,Europe,48600.0,1.91,1.96
India,Asia,6900.0,2.28,36.6
Indonesia,Asia,11600.0,2.31,25.0
Iran,Asia,18000.0,1.61,14.4
Iraq,Asia,15600.0,4.25,26.7
Ireland,Europe,70400.0,1.98,3.66
Israel,Asia,33700.0,2.92,3.73
Italy,Europe,35700.0,1.5,3.03
Jamaica,North America,8270.0,1.98,14.4
Japan,Asia,39300.0,1.48,2.49
Jordan,Asia,8310.0,3.24,16.1
Kenya,Africa,3080.0,3.74,41.1
Kuwait,Asia,65500.0,1.95,7.85
Lebanon,Asia,11600.0,1.71,7.44
Lesotho,Africa,2860.0,3.0,81.1
Liberia,Africa,1160.0,4.45,70.9
